rep_date,year,year_week,varity,rdcsd,stock2sale,season,crop_year
25640623,2564,26,กข15,พะเยา,"28,675",1,2564
25640623,2564,26,กข15,อุดรธานี,"4,875",1,2564
25640623,2564,26,กข41,สุราษฎร์ธานี,"187,750",2,2564/65
25640623,2564,26,กข41,ปัตตานี,"28,750",2,2564/65
25640623,2564,26,ขาวดอกมะลิ 105,พิษณุโลก,"725,275",1,2564
25640623,2564,26,ขาวดอกมะลิ 105,นครราชสีมา,"744,000",1,2564
25640623,2564,26,ขาวดอกมะลิ 105,ลำปาง,"198,325",1,2564
25640623,2564,26,ขาวดอกมะลิ 105,ลพบุรี,"509,575",1,2564
25640623,2564,26,ขาวดอกมะลิ 105,เชียงใหม่,"2,300",1,2564
25640623,2564,26,ขาวดอกมะลิ 105,พะเยา,"98,700",1,2564
25640623,2564,26,ขาวดอกมะลิ 105,อุบลราชธานี,"514,825",1,2564
25640623,2564,26,ขาวดอกมะลิ 105,ร้อยเอ็ด,"1,607,275",1,2564
25640623,2564,26,ขาวดอกมะลิ 105,อุดรธานี,"198,425",1,2564
25640623,2564,26,ขาวดอกมะลิ 105,แพร่,"310,225",1,2564
25640623,2564,26,ขาวดอกมะลิ 105,นครสวรรค์,"135,250",1,2564
25640623,2564,26,ขาวดอกมะลิ 105,สุรินทร์,"94,950",1,2564
25640623,2564,26,ขาวดอกมะลิ 105,ขอนแก่น,"414,350",1,2564
25640623,2564,26,ขาวดอกมะลิ 105,สกลนคร,"17,725",1,2564
25640623,2564,26,ขาวดอกมะลิ 105,ศรีษะเกษ,437325,1,2564
25640623,2564,26,ขาวดอกมะลิ 105,บึงกาฬ,"591,025",1,2564
25640623,2564,26,ขาวดอกมะลิ 105,นครนายก,"786,925",1,2564
25640623,2564,26,ขาวดอกมะลิ 105,บุรีรัมย์,"23,475",1,2564
25640623,2564,26,ขาวดอกมะลิ 105,อำนาจเจริญ,"396,275",1,2564
25640623,2564,26,ปทุมธานี 1,ชัยนาท,"416,225",1,2564
25640623,2564,26,ปทุมธานี 1,ชัยนาท,"355,775",2,2564/65
25640623,2564,26,ปทุมธานี 1,ลพบุรี,"7,625",2,2564/65
25640623,2564,26,ปทุมธานี 1,พะเยา,"81,175",1,2564
25640623,2564,26,ปทุมธานี 1,แพร่,"435,550",1,2564
25640623,2564,26,ปทุมธานี 1,แพร่,"263,700",2,2564/65
25640623,2564,26,ปทุมธานี 1,ชลบุรี,"11,950",1,2564
25640623,2564,26,ปทุมธานี 1,ชลบุรี,"125,125",2,2564/65
25640623,2564,26,ปทุมธานี 1,ราชบุรี,"32,225",1,2564
25640623,2564,26,ปทุมธานี 1,ราชบุรี,"90,000",2,2564/65
25640623,2564,26,ปทุมธานี 1,สุราษฎร์ธานี,"176,197",1,2564
25640623,2564,26,กข79,พัทลุง,"4,650",2,2564/65
25640623,2564,26,กข31,ราชบุรี,"35,700",1,2564
25640623,2564,26,กข31,ราชบุรี,"205,775",2,2564/65
25640623,2564,26,พิษณุโลก 2,พะเยา,"94,825",2,2564/65
25640623,2564,26,สันป่าตอง 1,ลำปาง,"417,750",2,2564/65
25640623,2564,26,สันป่าตอง 1,เชียงใหม่,"138,175",1,2564
25640623,2564,26,สันป่าตอง 1,เชียงใหม่,"352,490",2,2564/65
25640623,2564,26,สันป่าตอง 1,แพร่,"204,600",2,2564/65
25640623,2564,26,กข61,พิจิตร,"10,300",2,2564/65
25640623,2564,26,กข6,อุดรธานี,"379,525",1,2564
25640623,2564,26,กข6,บึงกาฬ,"1,675",1,2564
25640623,2564,26,กข22,อุดรธานี,"1,875",2,2564/65
25640623,2564,26,กข22,บึงกาฬ,"151,600",1,2564
25640623,2564,26,กข22,บึงกาฬ,"71,400",2,2564/65
25640623,2564,26,ชัยนาท 1,นครราชสีมา,"36,400",2,2564/65
25640623,2564,26,ชัยนาท 1,ขอนแก่น,"72,175",2,2564/65
25640623,2564,26,เฉี้ยงพัทลุง,พัทลุง,"56,800",1,2564
25640623,2564,26,เล็บนกปัตตานี,พัทลุง,"83,575",1,2564
25640623,2564,26,เล็บนกปัตตานี,ปัตตานี,365,1,2564
25640623,2564,26,สังข์หยดพัทลุง,พัทลุง,51682,1,2564
,,,,,,,
